message,label
Congratulations! You won a prize,spam
Free recharge offer available now,spam
Claim your free gift now,spam
You won a lottery,spam
Congratulations! You won 1 lakh rupees,spam
Click here to get money,spam
Limited time offer,spam
Free mobile recharge today,spam
Earn money from home,spam
Exclusive offer just for you,spam
You have been selected as a winner,spam
Get cash instantly,spam
Claim your reward now,spam
Win a brand new car,spam
Free vacation package,spam
Click here to claim your prize,spam
Special discount available,spam
Act now and save big,spam
You are eligible for a loan,spam
Get rich quick scheme,spam
Your account won cashback,spam
Limited period sale,spam
Congratulations! Free gift card,spam
Earn ₹5000 daily,spam
You have won a smartphone,spam
Free tickets available,spam
Claim bonus immediately,spam
Urgent action required,spam
Exclusive deal inside,spam
Winner announcement,spam
Free movie subscription,spam
Lowest price guaranteed,spam
Get instant approval,spam
Double your income,spam
Free shopping voucher,spam
Special promotion today,spam
Claim your lucky reward,spam
You have received a bonus,spam
Click now to win,spam
Amazing investment opportunity,spam
Limited seats available,spam
Free entry pass,spam
Earn extra income today,spam
Your reward is waiting,spam
Act fast before offer ends,spam
Free trial available,spam
You have won a cash prize,spam
Special cashback offer,spam
Exclusive membership invite,spam
Congratulations! You are selected,spam
Call me after class,ham
Meeting at 10 AM tomorrow,ham
Are you coming to college today?,ham
How are you today?,ham
Let's meet tomorrow,ham
Project submission is due today,ham
Call me when you are free,ham
See you in the evening,ham
Please send the notes,ham
Good morning,ham
Have you completed the assignment?,ham
Let's go for lunch,ham
Can we discuss the project?,ham
See you tomorrow,ham
Happy Birthday!,ham
Please attend the meeting,ham
Where are you now?,ham
Let's play cricket this evening,ham
Thanks for your help,ham
I reached home safely,ham
Can you share the document?,ham
Let's start the class,ham
Are you available now?,ham
Please call me back,ham
Meeting has been postponed,ham
Check your email,ham
Let's work together,ham
Have a nice day,ham
See you at the office,ham
The exam starts at 9 AM,ham
I will join shortly,ham
Please review the report,ham
Let's discuss tomorrow,ham
The event was great,ham
Can you help me?,ham
Thank you for your support,ham
Dinner is ready,ham
Let's watch a movie,ham
I am on my way,ham
Good luck for your interview,ham
The results are announced,ham
Please submit the form,ham
Let's meet at the library,ham
I have sent the file,ham
Can we reschedule the meeting?,ham
The train is delayed,ham
Please bring your ID card,ham
Welcome to the team,ham
Let's prepare for the exam,ham
See you next week,ham